title,keyword,abstract,link
[Central Nervous System Manifestations of COVID-19: A Systematic Review - PubMed],                  Keywords:                        CNS; COVID-19; Coronavirus; Neurological; Seizure.      ,"[                                              Objective:                    In this systematic review, we will discuss the evidence on the occurrence of central nervous system (CNS) involvement and neurological manifestations in patients with COVID-19.                                                        Methods:                    MEDLINE (accessed from PubMed) and Scopus from December 01, 2019 to March 26, 2020 were systematically searched for related published articles. In both electronic databases, the following search strategy was implemented and these key words (in the title/abstract) were used: ""COVID 19"" OR ""coronavirus"" AND ""brain"" OR ""CNS"" OR ""neurologic"".                                                        Results:                    Through the search strategy, we could identify two articles about neurological involvement by COVID-19. One of these publications was a narrative review and the other one was a viewpoint. However, the authors scanned the reference lists of the included studies and could identify multiple references. One study, specifically investigated the neurological manifestations of COVID-19 and could document CNS manifestations in 25% of the patients. Most of the studies investigated the manifestations of COVID-19 in general.                                                        Conclusion:                    While neurological manifestations of COVID-19 have not been studied appropriately, it is highly likely that some of these patients, particularly those who suffer from a severe illness, have CNS involvement and neurological manifestations. Precise and targeted documentation of neurological symptoms, detailed clinical, neurological, and electrophysiological investigations of the patients, attempts to isolate SARS-CoV-2 from cerebrospinal fluid, and autopsies of the COVID-19 victims may clarify the role played by this virus in causing neurological manifestations.                                ]",https://pubmed.ncbi.nlm.nih.gov//32299017/
"[Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China - PubMed]",No Keywords,"[                                              Importance:                    The outbreak of coronavirus disease 2019 (COVID-19) in Wuhan, China, is serious and has the potential to become an epidemic worldwide. Several studies have described typical clinical manifestations including fever, cough, diarrhea, and fatigue. However, to our knowledge, it has not been reported that patients with COVID-19 had any neurologic manifestations.                                                        Objective:                    To study the neurologic manifestations of patients with COVID-19.                                                        Design, setting, and participants:                    This is a retrospective, observational case series. Data were collected from January 16, 2020, to February 19, 2020, at 3 designated special care centers for COVID-19 (Main District, West Branch, and Tumor Center) of the Union Hospital of Huazhong University of Science and Technology in Wuhan, China. The study included 214 consecutive hospitalized patients with laboratory-confirmed diagnosis of severe acute respiratory syndrome coronavirus 2 infection.                                                        Main outcomes and measures:                    Clinical data were extracted from electronic medical records, and data of all neurologic symptoms were checked by 2 trained neurologists. Neurologic manifestations fell into 3 categories: central nervous system manifestations (dizziness, headache, impaired consciousness, acute cerebrovascular disease, ataxia, and seizure), peripheral nervous system manifestations (taste impairment, smell impairment, vision impairment, and nerve pain), and skeletal muscular injury manifestations.                                                        Results:                    Of 214 patients (mean [SD] age, 52.7 [15.5] years; 87 men [40.7%]) with COVID-19, 126 patients (58.9%) had nonsevere infection and 88 patients (41.1%) had severe infection according to their respiratory status. Overall, 78 patients (36.4%) had neurologic manifestations. Compared with patients with nonsevere infection, patients with severe infection were older, had more underlying disorders, especially hypertension, and showed fewer typical symptoms of COVID-19, such as fever and cough. Patients with more severe infection had neurologic manifestations, such as acute cerebrovascular diseases (5 [5.7%] vs 1 [0.8%]), impaired consciousness (13 [14.8%] vs 3 [2.4%]), and skeletal muscle injury (17 [19.3%] vs 6 [4.8%]).                                                        Conclusions and relevance:                    Patients with COVID-19 commonly have neurologic manifestations. During the epidemic period of COVID-19, when seeing patients with neurologic manifestations, clinicians should suspect severe acute respiratory syndrome coronavirus 2 infection as a differential diagnosis to avoid delayed diagnosis or misdiagnosis and lose the chance to treat and prevent further transmission.                                ]",https://pubmed.ncbi.nlm.nih.gov//32275288/
[Neurologic Manifestations in an Infant With COVID-19 - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32327489/
[Clinical Characteristics and Intrauterine Vertical Transmission Potential of COVID-19 Infection in Nine Pregnant Women: A Retrospective Review of Medical Records - PubMed],No Keywords,"[                                              Background:                    Previous studies on the pneumonia outbreak caused by the 2019 novel coronavirus disease (COVID-19) were based on information from the general population. Limited data are available for pregnant women with COVID-19 pneumonia. This study aimed to evaluate the clinical characteristics of COVID-19 in pregnancy and the intrauterine vertical transmission potential of COVID-19 infection.                                                        Methods:                    Clinical records, laboratory results, and chest CT scans were retrospectively reviewed for nine pregnant women with laboratory-confirmed COVID-19 pneumonia (ie, with maternal throat swab samples that were positive for severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2]) who were admitted to Zhongnan Hospital of Wuhan University, Wuhan, China, from Jan 20 to Jan 31, 2020. Evidence of intrauterine vertical transmission was assessed by testing for the presence of SARS-CoV-2 in amniotic fluid, cord blood, and neonatal throat swab samples. Breastmilk samples were also collected and tested from patients after the first lactation.                                                        Findings:                    All nine patients had a caesarean section in their third trimester. Seven patients presented with a fever. Other symptoms, including cough (in four of nine patients), myalgia (in three), sore throat (in two), and malaise (in two), were also observed. Fetal distress was monitored in two cases. Five of nine patients had lymphopenia (&lt;1·0 × 10⁹ cells per L). Three patients had increased aminotransferase concentrations. None of the patients developed severe COVID-19 pneumonia or died, as of Feb 4, 2020. Nine livebirths were recorded. No neonatal asphyxia was observed in newborn babies. All nine livebirths had a 1-min Apgar score of 8-9 and a 5-min Apgar score of 9-10. Amniotic fluid, cord blood, neonatal throat swab, and breastmilk samples from six patients were tested for SARS-CoV-2, and all samples tested negative for the virus.                                                        Interpretation:                    The clinical characteristics of COVID-19 pneumonia in pregnant women were similar to those reported for non-pregnant adult patients who developed COVID-19 pneumonia. Findings from this small group of cases suggest that there is currently no evidence for intrauterine infection caused by vertical transmission in women who develop COVID-19 pneumonia in late pregnancy.                                                        Funding:                    Hubei Science and Technology Plan, Wuhan University Medical Development Plan.                                ]",https://pubmed.ncbi.nlm.nih.gov//32151335/
[[The COVID-19 Pandemic and Otolaryngology: What It Comes Down To?] - PubMed],No Keywords,"[                                          Here, we review the most recent findings on the effects COVID-19 pandemic for the work of otolaryngologists. The role of anosmia and hyposmia as a potential COVID-19 related symptom is presented. We discuss the clinical management of all ENT patients, but especially of COVID-19 patients from the ENT perspective. The impact of the infection on the ENT examination and ENT surgery is summarized.                                ,                                           Die Übersichtarbeit fasst die aktuellen Erkenntnisse der Auswirkung der COVID-19-Pandemie für die Arbeit der HNO-Ärztin und des HNO-Arztes zusammen. Die aktuell diskutierte Rolle einer Anosmie oder Hyposmie als COVID-19-assoziiertes Symptom wird dargestellt. Wir diskutieren das klinische Management aller HNO-Fälle, aber insbesondere von COVID-19-erkrankten Patienten aus Sicht der HNO-Heilkunde. Ein besonderes Augenmerk gilt den Auswirkungen auf die HNO-Untersuchung und auf HNO-ärztliche Operationen.                                ]",https://pubmed.ncbi.nlm.nih.gov//32215896/
[Neurological Manifestations of COVID-19 and Other Coronavirus Infections: A Systematic Review - PubMed],                  Keywords:                        COVID-19; Coronavirus; Encephalitis; Neurological manifestations; SARS-CoV-2.      ,"[                                              Background:                    Increasing research reports neurological manifestations of COVID-19 patients. SARS-CoV-2 shares homology with other human coronaviruses that have also had nervous system involvement.                                                        Objective:                    To review the neurological aspects of SARS-cov2 and other coronavirus, including transmission pathways, mechanisms of invasion into the nervous system, and mechanisms of neurological disease.                                                        Methods:                    We conducted a systematic review of articles in PubMed, SCOPUS and EMBASE data bases. Reviewed evidence is presented in sections of this manuscript which includes pathogenesis, neuro-invasion, encephalitis, Guillain-Barré, ADEM, multiple sclerosis, polyneuropathy, and cerebrovascular disease.                                                        Results:                    A total 67 studies were included in the final analysis of experimental studies, case reports, series of cases, cohort studies, and systematic reviews related to neurological manifestations of SARS- CoV-2 and other human coronavirus infections. The SARS-CoV-2 receptor is expressed in the nervous system. Common reported symptoms included hyposmia, headaches, weakness, altered consciousness. Encephalitis, demyelination, neuropathy, and stroke have been associated with COVID-19. Infection through the cribriform plate and olfactory bulb and dissemination through trans-synaptic transfer are some of the mechanisms proposed. Invasion of the medullary cardiorespiratory center by SARS-CoV-2 may contribute to the refractory respiratory failure observed in critically-ill COVID-19 patients.                                                        Conclusion:                    An increasing number of reports of COVID-19 patients with neurological disorders add to emergent experimental models with neuro-invasion as a reasonable concern that SARS-CoV-2 is a new neuropathogen. How it may cause acute and chronic neurologic disorders needs to be clarified in future research.                                ]",https://pubmed.ncbi.nlm.nih.gov//32422545/
[Neurologic Manifestations in Hospitalized Patients With COVID-19: The ALBACOVID Registry - PubMed],No Keywords,"[                                              Objective:                    The coronavirus disease 2019 (COVID-19) has spread worldwide since December 2019. Neurological symptoms have been reported as part of the clinical spectrum of the disease. We aim to determine whether neurological manifestations are common in hospitalized COVID-19 patients and to describe their main characteristics.                                                        Methods:                    We systematically review all patients diagnosed with COVID-19 admitted to hospital in a Spanish population during March 2020. Demographic characteristics, systemic and neurological clinical manifestations, and complementary tests were analyzed.                                                        Results:                    Of 841 patients hospitalized with COVID-19 (mean age 66.4 years, 56.2% men) 57.4% developed some form of neurological symptom. Nonspecific symptoms such as myalgias (17.2%), headache (14.1%), and dizziness (6.1%) were present mostly in the early stages of infection. Anosmia (4.9%) and dysgeusia (6.2%) tended to occur early (60% as the first clinical manifestation) and were more frequent in less severe cases. Disorders of consciousness occurred commonly (19.6%), mostly in older patients and in severe and advanced COVID-19 stages. Myopathy (3.1%), dysautonomia (2.5%), cerebrovascular diseases (1.7%), seizures (0.7%), movement disorders (0.7%), encephalitis (n=1), Guillain-Barré syndrome (n=1), and optic neuritis (n=1) were also reported, but less frequent. Neurological complications were the main cause of death in 4.1% of all deceased study subjects.                                                        Conclusions:                    Neurological manifestations are common in hospitalized COVID-19 patients. In our series, more than half of patients presented some form of neurological symptom. Clinicians need to maintain close neurological surveillance for prompt recognition of these complications. The investigation of the mechanisms and emerging consequences of SARS-CoV-2 neurological involvement require further studies.                                ]",https://pubmed.ncbi.nlm.nih.gov//32482845/
"[Epidemiology, Causes, Clinical Manifestation and Diagnosis, Prevention and Control of Coronavirus Disease (COVID-19) During the Early Outbreak Period: A Scoping Review - PubMed]",                  Keywords:                        COVID-19; Causes; Epidemiology; Prevention and control; Review.      ,"[                                              Background:                    The coronavirus disease (COVID-19) has been identified as the cause of an outbreak of respiratory illness in Wuhan, Hubei Province, China beginning in December 2019. As of 31 January 2020, this epidemic had spread to 19 countries with 11 791 confirmed cases, including 213 deaths. The World Health Organization has declared it a Public Health Emergency of International Concern.                                                        Methods:                    A scoping review was conducted following the methodological framework suggested by Arksey and O'Malley. In this scoping review, 65 research articles published before 31 January 2020 were analyzed and discussed to better understand the epidemiology, causes, clinical diagnosis, prevention and control of this virus. The research domains, dates of publication, journal language, authors' affiliations, and methodological characteristics were included in the analysis. All the findings and statements in this review regarding the outbreak are based on published information as listed in the references.                                                        Results:                    Most of the publications were written using the English language (89.2%). The largest proportion of published articles were related to causes (38.5%) and a majority (67.7%) were published by Chinese scholars. Research articles initially focused on causes, but over time there was an increase of the articles related to prevention and control. Studies thus far have shown that the virus' origination is in connection to a seafood market in Wuhan, but specific animal associations have not been confirmed. Reported symptoms include fever, cough, fatigue, pneumonia, headache, diarrhea, hemoptysis, and dyspnea. Preventive measures such as masks, hand hygiene practices, avoidance of public contact, case detection, contact tracing, and quarantines have been discussed as ways to reduce transmission. To date, no specific antiviral treatment has proven effective; hence, infected people primarily rely on symptomatic treatment and supportive care.                                                        Conclusions:                    There has been a rapid surge in research in response to the outbreak of COVID-19. During this early period, published research primarily explored the epidemiology, causes, clinical manifestation and diagnosis, as well as prevention and control of the novel coronavirus. Although these studies are relevant to control the current public emergency, more high-quality research is needed to provide valid and reliable ways to manage this kind of public health emergency in both the short- and long-term.                                ]",https://pubmed.ncbi.nlm.nih.gov//32183901/
[[Anosmia and COVID-19] - PubMed],No Keywords,"[                                          Anosmia associated or not with dysgeusia seems to be a frequent symptom in cases of infection with SARS-CoV-2 responsible for COVID-19. It can be the initial symptom of the disease or remain isolated in pauci-symptomatic patients. Waiting for scientific confirmation and in the context of the current pandemic, it seems essential to consider any patient with a new anosmia as being infected with SARS-CoV-2 until proven otherwise. These patients should therefore isolate themselves and remain alert to the occurrence of other symptoms suggestive of the infection and/or be tested. Topical and systemic corticosteroids and nose washes are contraindicated. The natural course of anosmia seems to be favorable in most cases.                                ,                                           L’anosmie associée ou non à la dysgueusie semble être un symptôme fréquent en cas d’infection au SARS-CoV-2 responsable du COVID-19. Elle peut être le symptôme initial de la maladie ou rester isolée chez certains patients paucisymptomatiques. Dans l’attente de confirmations scientifiques et dans le contexte de pandémie actuelle, il semble primordial de considérer tout patient présentant une anosmie nouvelle comme étant infecté par le SARS-CoV-2 jusqu’à preuve du contraire. Ces patients devraient donc s’auto-isoler et rester attentifs à l’apparition des autres symptômes évocateurs de l’infection et/ou se faire tester. Les corticoïdes topiques et systémiques ainsi que les rinçages nasaux sont contre-indiqués. L’évolution naturelle de l’anosmie semble favorable dans la plupart des cas.                                ]",https://pubmed.ncbi.nlm.nih.gov//32348051/
[COVID-19 in a Patient Presenting With Syncope and a Normal Chest X-ray - PubMed],                  Keywords:                        COVID-19; SARS-CoV-2; chest radiograph; imaging; isolation precautions; syncope.      ,"[                                          SARS-CoV-2 is a novel virus that has now affected hundreds of thousands of individuals across the world. Amidst this global pandemic, maintaining a high index of suspicion, rapid testing capacity, and infection control measures are required to curtail the virus' rapid spread. While fever and respiratory symptoms have been commonly used to identify COVID-19 suspects, we present an elderly female who arrived to the hospital after a syncopal episode. She was afebrile with a normal chest X-ray and there was no suspicion of COVID-19. She then developed a fever and tested positive for COVID-19. Our unique case underscores the increasing diversity of COVID-19 presentations and potential for initial mis- diagnosis and delay in implementing proper precautions.                                ]",https://pubmed.ncbi.nlm.nih.gov//32226962/
